id,company_name,max_price,min_price,closing_price,previous_closing,difference
1,10% Prabhu Bank Debenture 2084,1075.00,1068.00,1075.00,1089.00,-14.00
2,10.25% NBBL Debenture 2085,1060.00,1055.00,1060.00,1060.00,0.00
3,10.25% Sunrise Bank Debenture 2083,1090.00,1090.00,1090.00,1080.00,10.00
4,10.50% SBL Debenture 2082,1070.00,1070.00,1070.00,1090.00,-20.00
5,11% NIC Asia Debenture 082/83,1114.00,1114.00,1114.00,1110.00,4.00
6,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1618.00,1575.00,1615.00,1580.00,35.00
7,Agriculture Development Bank Limited,434.00,423.00,427.00,429.00,-2.00
8,Ajod Insurance Limited,708.00,691.00,706.00,706.00,0.00
9,Ankhu Khola Jalvidhyut Company Ltd,157.00,150.00,153.00,154.00,-1.00
10,Api Power Company Ltd.,315.00,295.00,307.00,296.00,11.00
11,Arun Kabeli Power Ltd.,339.00,305.00,334.00,321.00,13.00
12,Arun Valley Hydropower Development Co. Ltd.,263.00,252.00,253.00,260.00,-7.00
13,Asha Laghubitta Bittiya Sanstha Ltd,1462.00,1392.00,1453.00,1416.00,37.00
14,Asian Life Insurance Co. Limited,1250.00,1228.00,1238.00,1243.00,-5.00
15,Bank of Kathmandu Ltd.,300.00,296.00,299.00,297.00,2.00
16,Barun Hydropower Co. Ltd.,233.00,224.00,233.00,229.00,4.00
17,Best Finance Company Ltd.,161.00,156.00,161.00,159.00,2.00
18,Bottlers Nepal (Terai) Limited,9060.00,8713.00,8899.00,8890.00,9.00
19,Butwal Power Company Limited,413.00,396.00,405.00,396.00,9.00
20,Central Finance Co. Ltd.,207.00,198.00,200.00,199.00,1.00
21,Century Commercial Bank Ltd.,249.00,243.00,246.00,246.00,0.00
22,Chandragiri Hills Limited,1719.00,1641.00,1719.00,1563.00,156.00
23,Chhimek Laghubitta Bikas Bank Limited,1634.00,1528.00,1621.00,1605.00,16.00
24,Chhyangdi Hydropower Ltd.,210.00,201.00,210.00,204.00,6.00
25,Chilime Hydropower Company Limited,595.00,564.00,593.00,569.00,24.00
26,Citizen Bank International Limited,301.00,297.00,298.00,300.00,-2.00
27,Citizen Investment Trust,4400.00,4310.00,4362.00,4400.00,-38.00
28,Citizens Mutual Fund -1,10.40,10.31,10.40,10.40,0.00
29,CITIZENS MUTUAL FUND 2,10.60,10.40,10.50,10.52,-0.02
30,Civil Bank Ltd,241.00,225.00,230.00,230.00,0.00
31,Civil Laghubitta Bittiya Sanstha Ltd.,1128.00,1040.00,1071.00,1075.00,-4.00
32,Corporate Development Bank Limited,663.00,640.00,645.00,650.00,-5.00
33,Deprosc Laghubitta Bittiya Sanstha Limited,1806.00,1700.00,1737.00,1720.00,17.00
34,Dibyashwori Hydropower Ltd.,122.00,115.00,119.00,116.00,3.00
35,Everest Bank Limited,740.00,730.00,733.00,736.00,-3.00
36,Everest Insurance Co. Ltd.,713.00,686.00,697.00,700.00,-3.00
37,Everest Insurance Co. Ltd. Promoter Share,400.00,366.00,400.00,385.00,15.00
38,Excel Development Bank Ltd.,454.00,424.00,447.00,425.00,22.00
39,First Micro Finance Development Bank Ltd.,810.00,790.00,799.00,805.00,-6.00
40,Forward Community Microfinance Bittiya Sanstha Ltd.,2559.00,2465.00,2536.00,2470.00,66.00
41,Ganapati Microfinance Bittiya Sanstha Limited,1539.00,1450.00,1530.00,1470.00,60.00
42,Garima Bikas Bank Limited,310.00,307.00,308.00,312.00,-4.00
43,General Insurance Company Nepal Ltd,630.00,618.00,627.00,630.00,-3.00
44,Ghalemdi Hydro Limited,171.00,155.00,163.00,160.00,3.00
45,Global IME Bank Limited,453.00,427.00,429.00,432.00,-3.00
46,Global IME Bank Ltd. Promoter Share,152.00,152.00,152.00,150.00,2.00
47,Global IME Laghubitta Bittiya Sanstha Ltd.,2090.00,2005.00,2075.00,2045.00,30.00
48,Global IME Samunnat Scheme-1,15.23,14.80,15.23,14.90,0.33
49,Goodwill Finance Co. Ltd.,252.00,244.00,250.00,250.00,0.00
50,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,1071.00,1005.00,1055.00,1054.00,1.00
51,Green Development Bank Ltd.,171.00,168.00,170.00,169.00,1.00
52,Green Development Bank Ltd. Promoter Share,100.00,100.00,100.00,100.00,0.00
53,GreenLife Hydropower Limited,411.00,363.00,388.00,392.00,-4.00
54,Guheshowori Merchant Bank & Finance Co. Ltd.,219.00,211.00,211.00,215.00,-4.00
55,Gurans Laghubitta Bittiya Sanstha Limited,1460.00,1400.00,1459.00,1449.00,10.00
56,Gurans Life Insurance Company Ltd.,733.00,719.00,724.00,731.00,-7.00
57,Gurkhas Finance Ltd.,398.00,390.00,394.00,397.00,-3.00
58,Himal Dolakha Hydropower Company Limited,138.00,133.00,135.00,135.00,0.00
59,Himalaya Urja Bikas Company Limited,348.00,327.00,345.00,338.00,7.00
60,Himalayan Bank Limited,502.00,494.00,496.00,503.00,-7.00
61,Himalayan Distillery Limited,4190.00,4118.00,4135.00,4190.00,-55.00
62,Himalayan General Insurance Co. Ltd,689.00,637.00,643.00,650.00,-7.00
63,Himalayan Power Partner Ltd.,435.00,401.00,402.00,415.00,-13.00
64,Hydorelectricity Investment and Development Company Ltd,370.00,335.00,361.00,352.00,9.00
65,ICFC Finance Limited,306.00,296.00,297.00,300.00,-3.00
